Date,STELLANTIS
28/12/2022,13.118
29/12/2022,13.378
30/12/2022,13.264
02/01/2023,13.648
03/01/2023,13.826
04/01/2023,14.192
05/01/2023,14.340
06/01/2023,14.446
09/01/2023,14.554
10/01/2023,14.666
11/01/2023,14.648
12/01/2023,14.770
13/01/2023,14.230
16/01/2023,14.316
17/01/2023,14.362
18/01/2023,14.268
19/01/2023,13.910
20/01/2023,14.024
23/01/2023,14.016
24/01/2023,14.020
25/01/2023,13.916
26/01/2023,14.054
27/01/2023,14.196
30/01/2023,14.024
31/01/2023,14.376
01/02/2023,14.488
02/02/2023,15.208
03/02/2023,15.200
06/02/2023,15.080
07/02/2023,15.088
08/02/2023,15.122
09/02/2023,15.678
10/02/2023,15.412
13/02/2023,15.508
14/02/2023,15.576
15/02/2023,15.870
16/02/2023,15.904
17/02/2023,15.950
20/02/2023,16.138
21/02/2023,15.868
22/02/2023,16.218
23/02/2023,16.804
24/02/2023,16.450
27/02/2023,16.632
28/02/2023,16.554
01/03/2023,17.056
02/03/2023,17.172
03/03/2023,17.668
06/03/2023,17.576
07/03/2023,17.530
08/03/2023,17.490
09/03/2023,17.202
10/03/2023,16.888
13/03/2023,16.204
14/03/2023,16.394
15/03/2023,15.794
16/03/2023,15.916
17/03/2023,15.716
20/03/2023,15.846
21/03/2023,16.186
22/03/2023,16.196
23/03/2023,16.180
24/03/2023,15.902
27/03/2023,16.230
28/03/2023,16.252
29/03/2023,16.410
30/03/2023,16.582
31/03/2023,16.736
03/04/2023,16.670
04/04/2023,16.440
05/04/2023,16.114
06/04/2023,16.248
11/04/2023,16.750
12/04/2023,16.796
13/04/2023,16.828
14/04/2023,17.164
17/04/2023,16.978
18/04/2023,17.032
19/04/2023,16.968
20/04/2023,16.050
21/04/2023,15.944
24/04/2023,14.938
25/04/2023,14.754
26/04/2023,14.670
27/04/2023,14.754
28/04/2023,15.000
02/05/2023,14.738
03/05/2023,14.462
04/05/2023,14.360
05/05/2023,14.726
08/05/2023,14.820
09/05/2023,14.942
10/05/2023,14.970
11/05/2023,14.910
12/05/2023,14.946
15/05/2023,14.862
16/05/2023,14.692
17/05/2023,14.840
18/05/2023,15.146
19/05/2023,15.432
22/05/2023,15.322
23/05/2023,15.238
24/05/2023,14.620
25/05/2023,14.470
26/05/2023,14.772
29/05/2023,14.750
30/05/2023,14.700
31/05/2023,14.182
01/06/2023,14.384
02/06/2023,14.786
05/06/2023,14.816
06/06/2023,14.750
07/06/2023,14.964
08/06/2023,15.180
09/06/2023,15.052
12/06/2023,15.296
13/06/2023,15.562
14/06/2023,15.766
15/06/2023,15.732
16/06/2023,15.858
19/06/2023,15.740
20/06/2023,15.380
21/06/2023,15.366
22/06/2023,15.224
23/06/2023,15.116
26/06/2023,15.184
27/06/2023,15.314
28/06/2023,15.470
29/06/2023,16.020
30/06/2023,16.090
03/07/2023,16.292
04/07/2023,16.256
05/07/2023,16.160
06/07/2023,15.878
07/07/2023,16.208
10/07/2023,16.266
11/07/2023,16.344
12/07/2023,16.728
13/07/2023,16.812
14/07/2023,16.706
17/07/2023,16.604
18/07/2023,16.604
19/07/2023,16.590
20/07/2023,16.660
21/07/2023,16.510
24/07/2023,16.776
25/07/2023,16.786
26/07/2023,17.230
27/07/2023,18.148
28/07/2023,18.580
31/07/2023,18.644
01/08/2023,18.294
02/08/2023,18.056
03/08/2023,17.892
04/08/2023,17.858
07/08/2023,17.804
08/08/2023,17.554
09/08/2023,17.396
10/08/2023,17.450
11/08/2023,16.850
14/08/2023,16.898
16/08/2023,16.668
17/08/2023,16.476
18/08/2023,16.354
21/08/2023,16.644
22/08/2023,16.716
23/08/2023,16.734
24/08/2023,16.546
25/08/2023,16.720
28/08/2023,16.932
29/08/2023,17.220
30/08/2023,17.166
31/08/2023,17.176
01/09/2023,16.800
04/09/2023,16.816
05/09/2023,16.906
06/09/2023,16.920
07/09/2023,16.952
08/09/2023,17.000
11/09/2023,17.376
12/09/2023,17.826
13/09/2023,17.768
14/09/2023,17.574
15/09/2023,17.906
18/09/2023,17.786
19/09/2023,18.052
20/09/2023,18.616
21/09/2023,18.162
22/09/2023,18.286
25/09/2023,18.068
26/09/2023,17.982
27/09/2023,17.858
28/09/2023,18.164
29/09/2023,18.210
02/10/2023,18.100
03/10/2023,17.806
04/10/2023,17.726
05/10/2023,17.822
06/10/2023,17.998
09/10/2023,17.998
10/10/2023,18.556
11/10/2023,18.938
12/10/2023,18.908
13/10/2023,18.830
16/10/2023,18.700
17/10/2023,18.894
18/10/2023,18.772
19/10/2023,18.086
20/10/2023,17.648
23/10/2023,18.022
24/10/2023,17.726
25/10/2023,17.778
26/10/2023,17.672
27/10/2023,17.318
30/10/2023,17.040
31/10/2023,17.600
01/11/2023,17.942
02/11/2023,18.336
03/11/2023,18.696
06/11/2023,18.326
07/11/2023,18.086
08/11/2023,18.312
09/11/2023,18.126
10/11/2023,17.982
13/11/2023,18.314
14/11/2023,18.672
15/11/2023,18.878
16/11/2023,18.498
17/11/2023,18.470
20/11/2023,18.894
21/11/2023,18.556
22/11/2023,18.564
23/11/2023,18.672
24/11/2023,18.798
27/11/2023,18.748
28/11/2023,18.730
29/11/2023,19.714
30/11/2023,19.902
01/12/2023,20.105
04/12/2023,20.305
05/12/2023,20.465
06/12/2023,21.060
07/12/2023,20.915
08/12/2023,21.025
11/12/2023,21.010
12/12/2023,20.970
13/12/2023,20.910
14/12/2023,21.260
15/12/2023,21.545
18/12/2023,21.515
19/12/2023,21.285
20/12/2023,21.240
21/12/2023,21.245
22/12/2023,21.225
27/12/2023,21.230
28/12/2023,21.185
29/12/2023,21.150
02/01/2024,21.175
03/01/2024,20.450
04/01/2024,20.425
05/01/2024,20.510
08/01/2024,20.670
09/01/2024,20.555
10/01/2024,20.780
11/01/2024,20.610
12/01/2024,20.455
15/01/2024,20.135
16/01/2024,19.916
17/01/2024,19.638
18/01/2024,19.838
19/01/2024,19.670
22/01/2024,19.700
23/01/2024,19.566
24/01/2024,19.564
25/01/2024,19.422
26/01/2024,19.524
29/01/2024,19.474
30/01/2024,20.220
31/01/2024,20.495
01/02/2024,20.770
02/02/2024,21.250
05/02/2024,21.075
06/02/2024,21.450
07/02/2024,21.675
08/02/2024,22.135
09/02/2024,22.465
12/02/2024,22.640
13/02/2024,22.390
14/02/2024,22.575
15/02/2024,23.870
16/02/2024,23.775
19/02/2024,23.615
20/02/2024,23.400
21/02/2024,23.540
22/02/2024,24.230
23/02/2024,24.610
26/02/2024,24.305
27/02/2024,24.245
28/02/2024,24.365
29/02/2024,24.135
01/03/2024,24.435
04/03/2024,24.625
05/03/2024,24.730
06/03/2024,25.000
07/03/2024,25.180
08/03/2024,25.105
11/03/2024,25.295
12/03/2024,25.765
13/03/2024,25.435
14/03/2024,25.370
15/03/2024,26.030
18/03/2024,26.150
19/03/2024,26.610
20/03/2024,26.660
21/03/2024,26.915
22/03/2024,26.935
25/03/2024,27.155
26/03/2024,26.580
27/03/2024,26.685
28/03/2024,26.345
02/04/2024,25.480
03/04/2024,25.015
04/04/2024,25.050
05/04/2024,24.600
08/04/2024,24.895
09/04/2024,25.075
10/04/2024,25.230
11/04/2024,25.210
12/04/2024,24.385
15/04/2024,24.995
16/04/2024,24.250
17/04/2024,24.270
18/04/2024,24.350
19/04/2024,24.230
22/04/2024,23.135
23/04/2024,23.305
24/04/2024,23.275
25/04/2024,22.890
26/04/2024,23.045
29/04/2024,23.225
30/04/2024,20.880
02/05/2024,19.980
03/05/2024,20.330
06/05/2024,20.230
07/05/2024,20.200
08/05/2024,19.800
09/05/2024,20.230
10/05/2024,20.280
13/05/2024,21.030
14/05/2024,21.470
15/05/2024,21.375
16/05/2024,21.170
17/05/2024,20.790
20/05/2024,20.675
21/05/2024,20.435
22/05/2024,20.395
23/05/2024,20.360
24/05/2024,20.550
27/05/2024,20.855
28/05/2024,20.700
29/05/2024,20.330
30/05/2024,20.475
31/05/2024,20.200
03/06/2024,20.140
04/06/2024,19.926
05/06/2024,20.180
06/06/2024,20.310
07/06/2024,20.190
10/06/2024,20.255
11/06/2024,20.075
12/06/2024,20.220
13/06/2024,19.660
14/06/2024,18.820
17/06/2024,18.984
18/06/2024,19.026
19/06/2024,18.980
20/06/2024,19.074
21/06/2024,19.032
24/06/2024,19.386
25/06/2024,19.370
26/06/2024,19.342
27/06/2024,18.544
28/06/2024,18.470
01/07/2024,18.634
02/07/2024,18.208
03/07/2024,18.316
04/07/2024,18.298
05/07/2024,18.108
08/07/2024,18.020
09/07/2024,18.068
10/07/2024,18.480
11/07/2024,18.564
12/07/2024,18.640
15/07/2024,18.656
16/07/2024,18.492
17/07/2024,18.658
18/07/2024,19.006
19/07/2024,18.584
22/07/2024,18.814
23/07/2024,18.378
24/07/2024,18.260
25/07/2024,16.674
26/07/2024,16.166
29/07/2024,15.628
