Data	Prezzo	Rendimento	Volume
2022-07-13	12.000	-0.0242	11261520
2022-07-14	11.692	-0.0257	10238269
2022-07-15	11.956	0.0226	10415134
2022-07-18	12.254	0.0249	11581552
2022-07-19	12.724	0.0384	9922342
2022-07-20	12.642	-0.0064	12516806
2022-07-21	12.568	-0.0059	12157434
2022-07-22	12.648	0.0064	12481446
2022-07-25	12.852	0.0161	10359729
2022-07-26	12.750	-0.0079	14546586
2022-07-27	12.930	0.0141	7574614
2022-07-28	13.566	0.0492	10498094
2022-07-29	13.922	0.0262	17843373
2022-08-01	14.046	0.0089	13107465
2022-08-02	14.282	0.0168	11197564
2022-08-03	14.424	0.0099	14546655
2022-08-04	14.324	-0.0069	15285395
2022-08-05	14.332	0.0006	13562461
2022-08-08	14.782	0.0314	9001478
2022-08-09	14.406	-0.0254	14175564
2022-08-10	14.608	0.0140	11966080
2022-08-11	14.686	0.0053	9001158
2022-08-12	14.832	0.0099	7311994
2022-08-16	14.900	0.0046	13634166
2022-08-17	14.640	-0.0174	10995275
2022-08-18	14.872	0.0158	10556642
2022-08-19	14.444	-0.0288	7441245
2022-08-22	13.852	-0.0410	10311180
2022-08-23	14.040	0.0136	11980241
2022-08-24	14.190	0.0107	12286103
2022-08-25	14.090	-0.0070	10843809
2022-08-26	13.740	-0.0248	10161956
2022-08-29	13.756	0.0012	13731714
2022-08-30	13.620	-0.0099	6505989
2022-08-31	13.354	-0.0195	10307319
2022-09-01	13.130	-0.0168	10781798
2022-09-02	13.474	0.0262	13103884
2022-09-05	12.828	-0.0479	12035329
2022-09-06	13.000	0.0134	15987748
2022-09-07	13.138	0.0106	12766603
2022-09-08	13.128	-0.0008	9752998
2022-09-09	13.292	0.0125	12143622
2022-09-12	13.738	0.0336	10817476
2022-09-13	13.544	-0.0141	11457955
2022-09-14	13.666	0.0090	10912849
2022-09-15	13.684	0.0013	11346666
2022-09-16	13.400	-0.0208	8404248
2022-09-19	13.510	0.0082	19048773
2022-09-20	13.220	-0.0215	6886234
2022-09-21	13.330	0.0083	13546841
2022-09-22	13.008	-0.0242	6910648
2022-09-23	12.482	-0.0404	8544502
2022-09-26	12.720	0.0191	13543361
2022-09-27	12.834	0.0090	10150594
2022-09-28	12.826	-0.0006	10252304
2022-09-29	12.214	-0.0477	11150967
2022-09-30	12.272	0.0047	16977425
2022-10-03	12.514	0.0197	10169498
2022-10-04	12.930	0.0332	9471228
2022-10-05	12.624	-0.0237	11699644
2022-10-06	12.534	-0.0071	12463118
2022-10-07	12.300	-0.0187	8128712
2022-10-10	12.184	-0.0094	9175837
2022-10-11	12.320	0.0112	9045643
2022-10-12	12.194	-0.0102	9623999
2022-10-13	12.486	0.0239	11106779
2022-10-14	12.498	0.0010	10838528
2022-10-17	12.814	0.0253	9644583
2022-10-18	13.022	0.0162	8222013
2022-10-19	12.968	-0.0041	12297217
2022-10-20	13.174	0.0159	6824383
2022-10-21	13.074	-0.0076	9200454
2022-10-24	13.474	0.0306	9054649
2022-10-25	13.530	0.0042	13799416
2022-10-26	13.652	0.0090	9098592
2022-10-27	13.634	-0.0013	7781915
2022-10-28	13.564	-0.0051	8560541
2022-10-31	13.660	0.0071	8075630
2022-11-01	13.792	0.0097	7809232
2022-11-02	13.734	-0.0042	10722898
2022-11-03	13.286	-0.0326	15068075
2022-11-04	13.564	0.0209	15660165
2022-11-07	13.760	0.0145	13582104
2022-11-08	13.710	-0.0036	6917921
2022-11-09	13.706	-0.0003	6347157
2022-11-10	14.158	0.0330	5584421
2022-11-11	14.228	0.0049	11647808
2022-11-14	14.408	0.0127	10016185
2022-11-15	14.516	0.0075	8631613
2022-11-16	14.250	-0.0183	8795173
2022-11-17	14.108	-0.0100	10218861
2022-11-18	14.410	0.0214	8112234
2022-11-21	14.542	0.0092	9935411
2022-11-22	14.682	0.0096	6841134
2022-11-23	14.464	-0.0148	8719566
2022-11-24	14.654	0.0131	6889669
2022-11-25	14.650	-0.0003	4996884
2022-11-28	14.554	-0.0066	4629453
2022-11-29	14.710	0.0107	5572080
2022-11-30	14.892	0.0124	8943265
2022-12-01	14.908	0.0011	15723912
2022-12-02	14.602	-0.0205	14291795
2022-12-05	14.658	0.0038	10869461
2022-12-06	14.448	-0.0143	7750958
2022-12-07	14.482	0.0024	7935913
2022-12-08	14.082	-0.0276	8112637
2022-12-09	13.724	-0.0254	12257326
2022-12-12	13.784	0.0044	17653946
2022-12-13	13.800	0.0012	6973217
2022-12-14	13.892	0.0067	11046928
2022-12-15	13.554	-0.0243	8090966
2022-12-16	13.354	-0.0148	14317406
2022-12-19	13.474	0.0090	18077490
2022-12-20	13.254	-0.0163	7028870
2022-12-21	13.540	0.0216	8853439
2022-12-22	13.124	-0.0307	7446576
2022-12-23	13.190	0.0050	10143472
2022-12-27	13.158	-0.0024	5234734
2022-12-28	13.118	-0.0030	3239781
2022-12-29	13.378	0.0198	6572127
2022-12-30	13.264	-0.0085	6912019
2023-01-02	13.648	0.0290	5485642
2023-01-03	13.826	0.0130	5995743
2023-01-04	14.192	0.0265	10635484
2023-01-05	14.340	0.0104	11205279
2023-01-06	14.446	0.0074	8703319
2023-01-09	14.554	0.0075	10476856
2023-01-10	14.666	0.0077	10394010
2023-01-11	14.648	-0.0012	10380755
2023-01-12	14.770	0.0083	8356208
2023-01-13	14.230	-0.0366	12310217
2023-01-16	14.316	0.0060	19979779
2023-01-17	14.362	0.0032	7749051
2023-01-18	14.268	-0.0065	10429807
2023-01-19	13.910	-0.0251	8387240
2023-01-20	14.024	0.0082	11640060
2023-01-23	14.016	-0.0006	11167514
2023-01-24	14.020	0.0003	7212139
2023-01-25	13.916	-0.0074	7526207
2023-01-26	14.054	0.0099	12105232
2023-01-27	14.196	0.0101	8296420
2023-01-30	14.024	-0.0121	9375416
2023-01-31	14.376	0.0251	10925629
2023-02-01	14.488	0.0078	14827578
2023-02-02	15.208	0.0497	13507907
2023-02-03	15.200	-0.0005	21413544
2023-02-06	15.080	-0.0079	16183901
2023-02-07	15.088	0.0005	9224277
2023-02-08	15.122	0.0023	8866682
2023-02-09	15.678	0.0368	9250490
2023-02-10	15.412	-0.0170	14231457
2023-02-13	15.508	0.0062	11119452
2023-02-14	15.576	0.0044	7457570
2023-02-15	15.870	0.0189	10154145
2023-02-16	15.904	0.0021	11385709
2023-02-17	15.950	0.0029	12236184
2023-02-20	16.138	0.0118	14123351
2023-02-21	15.868	-0.0167	10697835
2023-02-22	16.218	0.0221	11435162
2023-02-23	16.804	0.0361	24367740
2023-02-24	16.450	-0.0211	36181727
2023-02-27	16.632	0.0111	19389710
2023-02-28	16.554	-0.0047	12036930
2023-03-01	17.056	0.0303	14088988
2023-03-02	17.172	0.0068	19398003
2023-03-03	17.668	0.0289	11420680
2023-03-06	17.576	-0.0052	15723357
2023-03-07	17.530	-0.0026	9883487
2023-03-08	17.490	-0.0023	6385858
2023-03-09	17.202	-0.0165	9111642
2023-03-10	16.888	-0.0183	11070286
2023-03-13	16.204	-0.0405	15021327
2023-03-14	16.394	0.0117	15039282
2023-03-15	15.794	-0.0366	11328851
2023-03-16	15.916	0.0077	17797747
2023-03-17	15.716	-0.0126	12900149
2023-03-20	15.846	0.0083	23908153
2023-03-21	16.186	0.0215	11999902
2023-03-22	16.196	0.0006	9709910
2023-03-23	16.180	-0.0010	5353501
2023-03-24	15.902	-0.0172	7236962
2023-03-27	16.230	0.0206	10262336
2023-03-28	16.252	0.0014	5646418
2023-03-29	16.410	0.0097	5909643
2023-03-30	16.582	0.0105	8448399
2023-03-31	16.736	0.0093	7292278
2023-04-03	16.670	-0.0039	7644233
2023-04-04	16.440	-0.0138	6629722
2023-04-05	16.114	-0.0198	8633294
2023-04-06	16.248	0.0083	9491339
2023-04-11	16.750	0.0309	7050270
2023-04-12	16.796	0.0027	12791218
2023-04-13	16.828	0.0019	10373694
2023-04-14	17.164	0.0200	8015666
2023-04-17	16.978	-0.0108	12119073
2023-04-18	17.032	0.0032	10577376
2023-04-19	16.968	-0.0038	8183518
2023-04-20	16.050	-0.0541	9815276
2023-04-21	15.944	-0.0066	30007381
2023-04-24	14.938	-0.0631	18709660
2023-04-25	14.754	-0.0123	15865724
2023-04-26	14.670	-0.0057	12802557
2023-04-27	14.754	0.0057	11871441
2023-04-28	15.000	0.0167	7695151
2023-05-02	14.738	-0.0175	11434592
2023-05-03	14.462	-0.0187	10895285
2023-05-04	14.360	-0.0071	13843566
2023-05-05	14.726	0.0255	10894852
2023-05-08	14.820	0.0064	15362260
2023-05-09	14.942	0.0082	10852588
2023-05-10	14.970	0.0019	12384031
2023-05-11	14.910	-0.0040	14532664
2023-05-12	14.946	0.0024	14787155
2023-05-15	14.862	-0.0056	12722355
2023-05-16	14.692	-0.0114	6979058
2023-05-17	14.840	0.0101	11057876
2023-05-18	15.146	0.0206	9278619
2023-05-19	15.432	0.0189	11632468
2023-05-22	15.322	-0.0071	12014295
2023-05-23	15.238	-0.0055	8532535
2023-05-24	14.620	-0.0406	5871114
2023-05-25	14.470	-0.0103	15676039
2023-05-26	14.772	0.0209	7678675
2023-05-29	14.750	-0.0015	8300145
2023-05-30	14.700	-0.0034	4343170
2023-05-31	14.182	-0.0352	5979606
2023-06-01	14.384	0.0142	21256643
2023-06-02	14.786	0.0279	7226441
2023-06-05	14.816	0.0020	10278458
2023-06-06	14.750	-0.0045	8266949
2023-06-07	14.964	0.0145	8650014
2023-06-08	15.180	0.0144	9291294
2023-06-09	15.052	-0.0084	12157137
2023-06-12	15.296	0.0162	7418767
2023-06-13	15.562	0.0174	8610526
2023-06-14	15.766	0.0131	13145347
2023-06-15	15.732	-0.0022	11847228
2023-06-16	15.858	0.0080	8520618
2023-06-19	15.740	-0.0074	19094118
2023-06-20	15.380	-0.0229	6017902
2023-06-21	15.366	-0.0009	11502535
2023-06-22	15.224	-0.0092	6916847
2023-06-23	15.116	-0.0071	10448454
2023-06-26	15.184	0.0045	7172203
2023-06-27	15.314	0.0086	6793852
2023-06-28	15.470	0.0102	6603752
2023-06-29	16.020	0.0356	6375105
2023-06-30	16.090	0.0044	17456515
2023-07-03	16.292	0.0126	10384734
2023-07-04	16.256	-0.0022	9375062
2023-07-05	16.160	-0.0059	5279413
2023-07-06	15.878	-0.0175	8260448
2023-07-07	16.208	0.0208	11240630
2023-07-10	16.266	0.0036	9476409
2023-07-11	16.344	0.0048	7228050
2023-07-12	16.728	0.0235	6467031
2023-07-13	16.812	0.0050	14162649
2023-07-14	16.706	-0.0063	8435263
2023-07-17	16.604	-0.0061	5899088
2023-07-18	16.604	0.0000	6404556
2023-07-19	16.590	-0.0008	5678477
2023-07-20	16.660	0.0042	6011138
2023-07-21	16.510	-0.0090	6122923
2023-07-24	16.776	0.0161	6936458
2023-07-25	16.786	0.0006	7109803
2023-07-26	17.230	0.0265	8897952
2023-07-27	18.148	0.0533	22417006
2023-07-28	18.580	0.0238	26166721
2023-07-31	18.644	0.0034	20082108
2023-08-01	18.294	-0.0188	15437667
2023-08-02	18.056	-0.0130	15425954
