Date,ARISTON HOLDING
31/03/2025,4.110000134
01/04/2025,4.173999786
02/04/2025,4.184000015
03/04/2025,3.951999903
04/04/2025,3.655999899
07/04/2025,3.572000027
08/04/2025,3.609999895
09/04/2025,3.512000084
10/04/2025,3.568000078
11/04/2025,3.559999943
14/04/2025,3.720000029
15/04/2025,3.825999975
16/04/2025,3.638000011
17/04/2025,3.634000063
22/04/2025,3.592000008
23/04/2025,3.888000011
24/04/2025,3.920000076
25/04/2025,3.951999903
28/04/2025,4.047999859
29/04/2025,3.96600008
30/04/2025,3.973999977
02/05/2025,4.124000072
05/05/2025,4.190000057
06/05/2025,4.222000122
07/05/2025,4.449999809
08/05/2025,4.774000168
09/05/2025,4.831999779
12/05/2025,4.670000076
13/05/2025,4.679999828
14/05/2025,4.636000156
15/05/2025,4.570000172
16/05/2025,4.596000195
19/05/2025,4.388000011
20/05/2025,4.484000206
21/05/2025,4.515999794
22/05/2025,4.394000053
23/05/2025,4.414000034
26/05/2025,4.737999916
27/05/2025,4.742000103
