Date,FTSE
2024-24-11,33089.72
2024-24-11,33260.13
2024-24-11,33414.56
2024-24-12,33483.17
2024-24-12,33829.34
2024-24-12,34083.91
2024-24-12,34626.28
2024-24-12,34749.5
2024-24-12,34559.83
2024-24-12,34524.7
2024-24-12,34731.31
2024-24-12,34857.37
2024-24-12,34888.79
2024-24-12,34740.25
2024-24-12,34315.24
2024-24-12,34400.99
2024-24-12,33787.01
2024-24-12,33766.29
2024-24-12,33739.9
2024-24-12,34160.97
2024-24-12,34186.18
2025-25-01,34374.77
2025-25-01,34127.62
2025-25-01,34780.81
2025-25-01,34938.9
2025-25-01,35108.74
2025-25-01,35315.51
2025-25-01,35090.23
2025-25-01,34799.27
2025-25-01,35124.59
2025-25-01,35646.96
2025-25-01,35819.79
2025-25-01,36267.63
